Index,Time_12,Time_8,Time_4
0,0.07863499999803025,0.08710810000047786,0.12311720000070636
1,0.07344279999961145,0.08426310000140802,0.11937429999670712
2,0.07905879999816534,0.08953729999848292,0.1245835999980045
3,0.07682639999984531,0.08720090000133496,0.12954130000071018
4,0.07909959999960847,0.09686349999901722,0.1370158999998239
5,0.07832929999858607,0.09313509999992675,0.11793000000034226
6,0.0910898999973142,0.09328760000062175,0.11963730000206851
7,0.0748079000004509,0.08939180000015767,0.12013830000068992
8,0.08173600000009174,0.08911519999674056,0.11686400000326103
9,0.07940690000032191,0.08383490000051097,0.11759049999818671
10,0.07911969999986468,0.09374069999830681,0.1187078000002657
11,0.07513250000192784,0.09358800000336487,0.11930710000160616
12,0.07952319999822066,0.10596300000179326,0.1226490000008198
13,0.07715429999734624,0.09115110000129789,0.12230600000111735
14,0.08098980000067968,0.10210269999879529,0.12105499999961467
15,0.07590540000092005,0.08475470000121277,0.1181466999987606
16,0.07614529999773367,0.09493509999811067,0.11811020000095596
17,0.07876870000109193,0.09206040000208304,0.11841500000082306
18,0.0824493000000075,0.0911528000033286,0.11818080000011832
19,0.07949630000075558,0.09348359999785316,0.11734079999951064
20,0.07361350000064704,0.09474620000037248,0.1305179999981192
21,0.07466659999772673,0.09132540000064182,0.12666919999901438
22,0.07869270000082906,0.09000610000293818,0.11676079999961075
23,0.07985900000130641,0.11232129999916651,0.12005149999822606
24,0.08278689999860944,0.0900565000010829,0.11712160000024596
Mean,0.07866943199958769,0.09260500400036108,0.12124527599997237
Median,0.07876870000109193,0.09132540000064182,0.11937429999670712
Std_dev,0.003579736089349768,0.006350332864748648,0.004908713578139167
